code,definition
1,AFL Petition
2,AFL Intervenor
3,Teamster Petition
4,Teamster Intervenor
5,Unaffiliated National Petitioner
6,Unaffiliated National Intervenor
7,Unaffiliated Local Petitioner
8,No Winner
9,Unaffiliated Local Intervenor
