code,action,method_of_close
3,Certified Union Won,"Certification of Representatives by Regional Director or Board in Consent, Stipulated, Ordered, Regional Director directed, or 8(b)(7)C election (Includes case where union won the election in one or more units). Certified Union Won Election."
4,Certified Union Lost,"Certification of results by Regional Director or Board in Consent, Stipulated, Ordered, Regional Director directed, or 8(b)(7)C elections. Certified Union Lost Election."
